test_language,object,is_animate
Catalan,abella,1
Catalan,aigua,0
Catalan,aixeta,0
Catalan,amanida,0
Catalan,ampolla,0
Catalan,anec,1
Catalan,arbre,0
Catalan,avio,0
Catalan,barret,0
Catalan,berenar,0
Catalan,bici,0
Catalan,boca,0
Catalan,bolet,0
Catalan,boto,0
Catalan,cadira,0
Catalan,caixa,0
Catalan,camio,0
Catalan,casa,0
Catalan,claus,0
Catalan,colom,1
Catalan,cotxe,0
Catalan,cuc,1
Catalan,finestra,0
Catalan,flor,0
Catalan,formatge,0
Catalan,formiga,1
Catalan,forquilla,0
Catalan,fulla,0
Catalan,galeta,0
Catalan,galleda,0
Catalan,gat,1
Catalan,globus,0
Catalan,gos,1
Catalan,got,0
Catalan,granota,1
Catalan,guitarra,0
Catalan,ma,0
Catalan,maduixa,0
Catalan,mico,1
Catalan,mirall,0
Catalan,mitjo,0
Catalan,moneda,0
Catalan,moto,0
Catalan,mussol,1
Catalan,ocell,1
Catalan,onada,0
Catalan,orella,0
Catalan,osset,1
Catalan,ovella,1
Catalan,pa,0
Catalan,papallona,1
Catalan,peix,1
Catalan,pernil,0
Catalan,pilota,0
Catalan,planta,0
Catalan,platan,0
Catalan,poma,0
Catalan,porc,1
Catalan,porta,0
Catalan,ull,0
Catalan,ulleres,0
Catalan,ungla,0
Catalan,vaca,1
Catalan,vaixell,0
English,apple,0
English,ball,0
English,balloon,0
English,bike,0
English,bird,1
English,biscuit,0
English,boat,0
English,book,0
English,bottle,0
English,bowl,0
English,box,0
English,bread,0
English,brush,0
English,bucket,0
English,bunny,1
English,butterfly,1
English,button,0
English,chair,0
English,cheese,0
English,chicken,1
English,chips,0
English,chocolate,0
English,finger,0
English,fish,1
English,flower,0
English,foot,0
English,fork,0
English,frog,1
English,hat,0
English,milk,0
English,mon,0
English,monkey,1
English,moon,0
English,mouse,1
English,mouth,0
English,nappy,0
English,nose,0
English,parrot,1
English,peas,0
English,pencil,0
English,penguin,1
English,phone,0
English,pig,1
English,plane,0
English,plate,0
English,potato,0
English,sandwich,0
English,scissors,0
English,sheep,1
English,shirt,0
English,shoe,0
English,slide,0
English,snail,1
English,sock,0
English,spoon,0
English,star,0
English,sun,0
English,table,0
English,teddy,1
English,tiger,1
English,tomato,0
English,train,0
English,tree,0
English,trousers,0
English,truck,0
Spanish,barco,0
Spanish,bici,0
Spanish,boca,0
Spanish,bocadillo,0
Spanish,boli,0
Spanish,botella,0
Spanish,botón,0
Spanish,brazo,0
Spanish,buho,1
Spanish,burro,1
Spanish,caballo,1
Spanish,caja,0
Spanish,calcetin,0
Spanish,cama,0
Spanish,camiseta,0
Spanish,caracol,1
Spanish,casa,0
Spanish,cebra,1
Spanish,cepillo,0
Spanish,cerdo,1
Spanish,cesta,0
Spanish,cielo,0
Spanish,coche,0
Spanish,corona,0
Spanish,cubo,0
Spanish,cuchara,0
Spanish,gafas,0
Spanish,galleta,0
Spanish,gallina,1
Spanish,gato,1
Spanish,globo,0
Spanish,gorrion,1
Spanish,gorro,0
Spanish,grifo,0
Spanish,guitarra,0
Spanish,gusano,1
Spanish,hoja,
Spanish,hormiga,1
Spanish,ladrillo,0
Spanish,lapiz,0
Spanish,leche,0
Spanish,lengua,0
Spanish,león,1
Spanish,libro,0
Spanish,loro,1
Spanish,luna,0
Spanish,mano,0
Spanish,manzana,0
Spanish,mariposa,1
Spanish,martillo,0
Spanish,mesa,0
Spanish,moneda,0
Spanish,mono,1
Spanish,moto,0
Spanish,muneca,0
Spanish,ojo,0
Spanish,ola,0
Spanish,ombligo,0
Spanish,oreja,0
Spanish,osito,0
Spanish,oveja,1
Spanish,pájaro,1
Spanish,pan,0
Spanish,pañal,0
Spanish,pantalon,0
Spanish,pastel,0
Spanish,patata,0
Spanish,pato,1
Spanish,pelota,0
Spanish,perro,1
Spanish,pez,1
Spanish,pie,0
Spanish,pierna,0
Spanish,pinguino,1
Spanish,platano,0
Spanish,plato,0
Spanish,pluma,0
Spanish,puerta,0
Spanish,queso,0
Spanish,tambor,0
Spanish,tele,0
Spanish,tenedor,0
Spanish,tigre,1
Spanish,tijeras,0
Spanish,tobogan,0
Spanish,tomate,0
Spanish,toro,1
Spanish,tren,0
Spanish,vaca,1
Spanish,vaso,0
Spanish,ventana,0
Spanish,zanahoria,0
Spanish,zapato,0
Spanish,zumo,0
