stimulus,item_cdi,item_supp
ball,NA,ball
balloon,NA,balloon
bike,NA,bike
bird,NA,bird
biscuit,NA,biscuit
boat,ball,boat
book,book,book
boot,boot_s,boots
bottle,bottle,bottle
box,box,box
bread,bread,bread
brush,brush,brush
bucket,bucket,bucket
bunny,bunny_rabbit,bunny
butterfly,butterfly,butterfly
chair,chair,chair
cheese,cheese,cheese
chicken,chicken,chicken
chips,chips,chips
chocolate,,chocolate
door,door,door
fireengine,fire_engine,fire_engine
fish,fish,fish
flower,flower,flower
foot,foot,foot
fork,fork,fork
frog,frog,frog
hat,hat,hat
helicopter,,helicopter
jacket,jacket,jacket
mask,,mask
milk,milk,milk
monkey,monkey,monkey
moon,moon,moon
mouse,mouse,mouse
mouth,mouth,mouth
nappy,nappy,nappy
nose,nose,nose
peas,peas,peas
pen,pen,pen
pencil,,pencil
penguin,penguin,penguin
phone,telephone,phone
pig,pig,pig
plane,aeroplane_plane,plane
plate,plate,plate
potato,,potato
sandwich,,sandwich
shoe,shoe,shoe
slide,slide,slide
snail,,snail
sock,sock,sock
sofa,sofa,sofa
spoon,spoon,spoon
star,star,star
sun,sun,sun
table,table,table
teddy,teddy_bear,teddy
tiger,tiger,tiger
tomato,NA,tomato
train,train,train
tree,tree,tree
trousers,trousers,trousers
truck,lorry_truck,truck
